page,eng,twi,gaa
29,plain,,fáṅṅ
29,plain,,kplanã
29,plain,,kpokpo
29,plain,asasetaw,
29,plain,tataw,
29,plain,epaw so,
29,plain,apã so,
29,plain,,ñã kpātā
29,plain,,ñã kplanā
29,plaint,nteṅ,
29,plaint,ntenyi,
29,plaint,ṅkuro,
29,plaintiff,nea ọbọ obi hō ṅkuro,
29,plaintiff,ọde asem bi to no so,
29,plaintiff,,nafolo
29,plaintiff,,naflolo
29,plaintiff,,saneyelo
29,plait,bubu,
29,plait,bọ hō,
29,plait,wọw,
29,plait,ṅhwi mmesã,
29,plait,ṅwene,
29,plait,,gbọ yi
29,plane,apaso,
29,plane,,hoble
29,plane,,hoble-adade
29,plane,pa so,
29,plane,tow atade so,
29,plane,tow dade so,
29,plane,,šo
29,plane,,gbọ
29,plane,,gblọ
29,plant,dua,
29,plant,mfifi,
29,plant,wura,
29,plant,,tšo
29,plant,,ba
29,plant,,fie
29,plant,dua aburow,
29,plant,fua ode,
29,plant,sūm brode,
29,plant,sūm kwadu,
29,plant,tew mme,
29,plant,,dū
29,plant,,fū ši
29,plant,,tẹo
29,plant,,hū
29,plantain,ọbrọde,amadā
29,plantain-tree,ọbrọde(dua),amadātšo
29,plantation,afuw,
29,plantation,afuo,
29,plantation,ẹkwā,
29,plantation,ham,
29,plantation,,kosẹ
29,plantation,,ùmọṅ
29,plantation,,abọ
29,plantation-village,akurā,akrowa
29,planter,okuafo,
29,planter,oduafo,
29,planter,ọṭewfo,
29,planter,afuw wura,
29,planter,ọdede,
29,planter,odefuo,
29,planter,,abọṭẹ
29,planter,,ṅmōṭẹ
29,planter,,koseṅyo
29,planter,,akwafonyo
29,planter,,hūlọ
29,planter,,dūlọ
29,planter,,ṭeọlọ
29,plaster,ntaresọ,
29,plaster,ntarehọ,
29,plaster,prāse,
29,plaster,akado,
29,plaster,dote,
29,plaster,,kalo
29,plaster,,sū
29,plaster,,klekalo
29,plaster,,plast
29,plaster,de(fa)..mā (odaṅ) hō,
29,plaster,tare hō,
29,plaster,tare so,
29,plaster,,ṭsa
29,plaster,,mā he
29,plaster,,ta nọ
29,plate,préte,plete
29,plate,taforoboto,fale
30,platform,abaŋ (odaŋ) atifi a ɛso tā,tsu yiteŋ
30,platform,bābi a wɔamā atā,tsu yiteŋ
30,play,"goru (go, goro)",fɛ
30,play,bɔ (sāŋkū),fɛ
30,play,hyeŋ (abeŋ),fɛ
30,play,Ad. fye,fɛ
30,play at cards,tow ŋhōma,fɛ aso
30,play dice,tow sikyi,fɔ̃ ošiki
30,play the hypocrite,yɛ nyåtwom,ti nsrō
30,play the hypocrite,twā ŋkontompo,ti nsrō
30,play,"agoru (ago, agorɔ)",fɛmo
30,play-thing,agode,fɛmoŋō
30,player,ogofɔ (Ak. ogofɔ),fɛbilɔ
30,playfollow,ogofɔ (Ak. ogofɔ),fɛbilɔ
30,play-mate,ogofɔ (Ak. ogofɔ),fɛbilɔ
30,"playful, to be-","pɛ agoru (ago, agorɔ)",ho la
30,plea,asɛm,sane
30,plea,aperesɛm,sane
30,plea,ŋkataso,sane
30,plea,gyinae,sane
30,plea,asɛm,kodšomosane
30,plea,aperesɛm,kodšomosane
30,plea,ŋkataso,kodšomosane
30,plea,gyinae,kodšomosane
30,please,sɔ ani,sa hie
30,please,yɛ fɛ,sa hie
30,please,yɛ dɛ,sa hie
30,please,sɔ ani,fe fɛo
30,please,yɛ fɛ,fe fɛo
30,please,yɛ dɛ,fe fɛo
30,pleasant,dɛ,fɛo
30,pleasant,dɛw,fɛo
30,pleasant,fɛ,fɛo
30,pleasant,fɛw,fɛo
30,pleasant,dɛ,ṅɔ
30,pleasant,dɛw,ṅɔ
30,pleasant,fɛ,ṅɔ
30,pleasant,fɛw,ṅɔ
30,pleasure,anigye,fɛofɛmo
30,pleasure,anikā,fɛofɛmo
30,pleasure,anisɔde,fɛofɛmo
30,pleasure,anisɔ,fɛofɛmo
30,pleasure,anigye,hiemɛ
30,pleasure,anikā,hiemɛ
30,pleasure,anisɔde,hiemɛ
30,pleasure,anisɔ,hiemɛ
30,pleasure,anigye,ṅɔmo
30,pleasure,anikā,ṅɔmo
30,pleasure,anisɔde,ṅɔmo
30,pleasure,anisɔ,ṅɔmo
30,pleasure,anigye,plašie
30,pleasure,anikā,plašie
30,pleasure,anisɔde,plašie
30,pleasure,anisɔ,plašie
30,pledge,awowa,awoba
30,pledge,F. ahoba,awoba
30,pledge,adoŋwowa,awoba
30,to put in-,si awowa,to awoba
30,to put or-,si awowa,to awoba
30,to take a-,gye awowa,dše nyōmo
30,pledget,,amanya
30,Pleiad(e)s,akokɔtaŋ nɛ nemma,wo kɛ ebii
30,plentiful,bebrɛ,babao
30,plentiful,pi,babao
30,plentiful,pi pa,babao
30,plentiful,pɛwa,babao
30,plentiful,dodow,babao
30,plentiful,dōmāŋkāmā,babao
30,plenty,dodow,falɛ
30,pluck,tew,tše
30,pluck,paŋ,tše
30,pluck,poŋ,tše
30,pluck,tu,tše
30,pluck,tutu,tše
30,pluck,tew,tšere
30,pluck,paŋ,tšere
30,pluck,poŋ,tšere
30,pluck,tu,tšere
30,pluck,tutu,tšere
30,pluck off,tew,kpo
30,pluck off,tetew,kpo
30,pluck off,tew,kpoke
30,pluck off,tetew,kpoke
30,plumb,pō,kpo
30,plumb,bum,kpo
30,plumb,pō,gbu
30,plumb,bum,gbu
30,plumb,pō,bum
30,plumb,bum,bum
30,plumb,pō,tšiŋmō
30,plumb,bum,tšiŋmō
30,plump,pō,kpo
30,plump,bum,kpo
30,plump,pō,gbu
30,plump,bum,gbu
30,plump,pō,bum
30,plump,bum,bum
30,plump,pō,tšiŋmō
30,plump,bum,tšiŋmō
30,plummet,tā-hama,nseniŋtɛ
30,plummet,kyerebeŋyɛ-bɔ,nseniŋtɛ
30,plummet,prumo,nseniŋtɛ
30,plummet,tā-hama,mligblamɔtɛ
30,plummet,kyerebeŋyɛ-bɔ,mligblamɔtɛ
30,plummet,prumo,mligblamɔtɛ
30,plunder,fow,ha
30,plunder,fom,ha
30,plunder,fa dommum,ha
30,plunder,fa asade,ha
30,plunder,fow,ŋɔ nom
30,plunder,fom,ŋɔ nom
30,plunder,fa dommum,ŋɔ nom
30,plunder,fa asade,ŋɔ nom
30,plunder,fow,fe m.k. fɛm
30,plunder,fom,fe m.k. fɛm
30,plunder,fa dommum,fe m.k. fɛm
30,plunder,fa asade,fe m.k. fɛm
30,plunder,fow,ye ofɔ
30,plunder,fom,ye ofɔ
30,plunder,fa dommum,ye ofɔ
30,plunder,fa asade,ye ofɔ
31,pocket,kotoku,kotoku
31,pocket-handkerchief,dúkú,kotokuṅduku
31,pocket-knife,opɔnontom,kito
31,pod,(e)hono,toto
31,poem,dwom,lala
31,point,ano,oti
31,point,fweti,gbɛhe
31,point,nsiho,na
31,point,botae,nagbē
31,point,sibea,
31,point,adetiriw,
31,point,asɛmti,
31,pointed,fwireṅfwireṅ,kotofi
31,pointed,fɛafɛā,šōšōšō
31,poise,kari,da he
31,poison,bɔre,bɔ
31,poison,adutōduru,ebɔ
31,poison,,tšofā
31,poison (v),tō aduru,sû
31,poison (v),,wo m.k. na tšofā
31,pole,dua,tšo
31,pole,abā,
31,polish,pɔw hō,ša
31,polish,"hoa (dwɛtɛ, dade) hō",ša he
31,polite,aguasoba,aguasɛṅbomo
31,polite,oguasɛm'ní,kasegbomo
31,polite,nea opɔw or wapɔw,
31,polite,onim aguasemde yɔ,
31,politeness,aguasɛm'dé,agwaseṅ
31,politeness,opɔw,kasefemo
31,poll,ti (atiko),yitšo
31,poll,tikora,gbomo
31,poll,nnipa diṅ mmoaano,
31,pollute,gu hō fi,tšēñe
31,pollute,yɛ fi,bule
31,pollute,hura hō,
31,pond,ɔtare,buko
31,pond,eko,fā
31,pond,baka,kpakpo
31,pond,abura,
31,pond,asu,
31,pond,dontori,
31,pond,atwǎtā,
31,poor,di hia,
31,poor,ade hia (no),
31,poor-man,obɛrefo,niiahetlīalɔ
31,poor-man,ohiani,ohiafo
31,poorly,,nyāfinyâfi
31,populous,nea nnipa dōsō hɔ,kiṅkā
31,populous,,dšukudšuku
31,porch,abrannā,ablana
31,porch,apata,kpata ši
31,porcupine,kotoko,kotoko
31,pork,prakonām,kplokolo
31,port,hyeṅ gyinabea,bele
31,port,opɔṅ,ble
31,port,abobow,lɛdšiadamɔhe
31,portal,abobow,agbo
32,porter,opoñanofwęfo,sinasralo
32,porter,odosoani,agbokwelo
32,porter,odesoafo,dsatsuterelo
32,porter,potoro (brofoahai),
32,portion,de (ade),gbena
32,portion,kyefa,mlidsha
32,portion,nkyemu,
32,Portugal,Portugal,Okes
32,Portugal,Potugesi,Okesi
32,possess,de,ye no
32,possess,wo,ye noutso
32,possess,kura,ye
32,possess,di so,na
32,possess,ye owura,
32,possessor,odede,tse
32,possessor,owura,notse
32,possibility,tumi,nyemo
32,possibility,woye a ebeye ye,
32,post,dua a esi ho,tso ni ma si
32,post,gyinabea,damohe
32,post,dibea,madsemo
32,post,amanae,
32,post-man,amanadekurafo,wolohielo
32,post-man,,madselo
32,post-master,amanaefwefo,wolomadsemo-onukpa
32,post-office,amanae,wolomadsemo-gbehe
32,posthumous,nea n'agya wu akyi wowoo no,gbonyobi
32,pot,ahina,gbe
32,pot,kuku,ka
32,pot,kutu,kakutu
32,pot,osen,kulo
32,pot,opo'do,dudo
32,pot,oposi,botoku
32,pot,n.a.,
32,pot-ladle,bebeta,gigintso
32,pot-sherd,kyemfere,kako
32,pot-sherd,,nesu
32,potter,okukunwemfo,solo
32,potter,onwemfo,gbesolo
32,potter,,kasolo
32,potter's clay,anwemmo,kasolo su
32,potter's trade,nkukunwene,so
32,potter's trade,,gbeso
32,pottery,nkuku ne nkaka,sohe
32,pottery,nkukunwene fi,
32,poultry,nkoko,woi
32,poultry,dabodabo,dabodaboi
32,poultry,krakum n.a.,krakumi
32,pounce (upon),si,si
32,pounce (upon),,ti no
32,pounce (upon),,yi no
32,pound,siw,si
32,pound,wow,
32,pound,potow,
32,pound,karibo,
32,pound,suru,
32,pounder,owomma,baduruntsomlibi
32,pounder,,fufuitsomlibi
32,pounder,,woma
32,pour(out),fwie,fie
32,pour(out),gu,fo
32,pour(out),fwie gu,fose
32,pour(out),ka gu,fote
32,pour(out),,fie si
32,pour(out),,tsi..fie
32,poverty,ohia,ohia
33,powder,mfutuma,
33,powder,aduru a woayam a.s. woasiw no fékō,
33,powder,atuduru,
33,powder,,mlu
33,powder,,tsofã
33,powder,,tũtsofã
33,powder (barrel),akótowa,
33,powder (barrel),okwádúm,
33,powder (barrel),atentením,
33,powder (barrel),,akotowa
33,powder (barrel),,atentenim
33,"powder (case, horn, flask)",odańka,
33,powdered,dúkū,
33,powdered,dúkuduku,
33,powdered,fékō,
33,powdered,fékofeko,
33,powdered,,fru
33,powdered,,fluflu
33,powdered,,dukuduku
33,power,(hō) kwań,
33,power,ahōodeń,
33,power,tumi,
33,power,ḍom,
33,power,,gbe
33,power,,hegbe
33,power,,hewale
33,power,,wale
33,power,,nyēmo
33,power,,agbodsē
33,power,,frāmā
33,powerful,otumfo,
33,powerful,ohōodeńfo,
33,powerful,oberań,
33,powerful,,ofe
33,powerful,,agbo
33,powerful,,hewalo
33,powerful,,nyēlo
33,powerful,,oblań
33,"powerless, to become",wu,
33,"powerless, to become",ano kum,
33,"powerless, to become",,gbo
33,"powerless, to become",,gbo
33,"powerless, to become",,gbodšo
33,practice,adeyę,
33,practice,ḍwumadi,
33,practice,nyansa,
33,practice,,nokā
33,practice,,nokāmo
33,practice,,nōfemo
33,practice,,nahomo
33,practice,,niifemonii
33,practise,yę,
33,practise,di,
33,practise,goru,
33,practise,tā nyęę,
33,practise,,fe
33,practise,,tšu
33,practise,,bo
33,practise,,fe he niitšumo
33,practise,,na homo he
33,practise,,fe femo
33,praise,kamfo,
33,praise,yi ayę,
33,praise,bo diń (pa),
33,praise,,bo
33,praise,,dšie yi
33,praise,,kafo
33,praise,,wo
33,prattle,twa ńkúrodo,
33,prattle,ano yę bęrębęrę,
33,prattle,bętębętę,
33,prattle,birebire,
33,prattle,kurokuro,
33,prattle,kasakasa,
33,prattle,,tokemo
33,prattle,,triliwiemo
33,prattle,,wyięsęwiemo
33,pray,sore,
33,pray,bo mpae,
33,pray,yi mpae,
33,pray,pa kyęw,
33,pray,kańkye,
33,pray,,sole
33,pray,,ye ńkpai
33,pray,,kpa fai
33,prayer,asore,
33,prayer,mpae,
33,prayer,mpaebọ,
33,prayer,,solemo
33,prayer,,faikpamo
33,prayer-meeting,mpaebọ ńhyia,
33,prayer-meeting,asore,
33,prayer-meeting,,solemo-kpē
33,preach,sore,
33,preach,kā asęm,
33,preach,,šię
33,preach,,sole
33,preach,,dšadše
33,preach,,dšadše..tšō
33,preach,,Ad. sę
33,precede,di kań,
33,precede,di anim,
33,precede,,bo no
33,precede,,ye hie
33,precede,,tšō hie
33,precentor,ḍwontofo,
33,precentor,ḍwomfręfo,
33,precentor,,lalawolo
33,precipitate,wọ akọmfo,
33,precipitate,,nyō
33,precipitate,,mã yi ši
34,precisely,pepēpe,fitsofitso
34,"precocious, to be",ye perepere,gbi
34,"precocious, to be",ye aperewa,hie sa
34,"precocious, to be",di mperewasem,fe kplekple
34,"precocious, to be",ye pērepēre,wese
34,"precocious, to be",di mpanyinsem,fe abompé
34,prefer,pe,bo no
34,prefer,paw,kpa mli
34,prefer,fa,fā
34,pregnancy,afurufa,hohíemo
34,pregnancy,ninseŋ,musunamo
34,pregnancy,yem,
34,"pregnant, to be, become",ninseŋ,no ho
34,"pregnant, to be, become",yem,hie ho
34,"pregnant, to be, become",fa afuru,ná musu
34,"pregnant, to be, become",bo duru,
34,"pregnant, to be, become",ye opemfo,
34,prepare,siesie,sa
34,prepare,siesie hō,sa he
34,prepare,sesew,dšie gbe
34,prepare,yi kwan,fe klalo
34,"present, to be",wo ho,ye
34,"present, to be",,ye bie
34,"at present, presently",afei,agbene
34,"at present, presently",afei de,gbii ete ne
34,"at present, presently",sesē de,biane
34,"at present, presently",mpreŋ,
34,"at present, presently",nnansā yi,
34,"at present, presently",mprempreŋ,
34,"at present, presently",sesē ara,
34,"present, n.",akyede,ke
34,"present, n.",adekyede,kēnō
34,"present, n.",ayeyede,nōkēnō
34,"present, v.",de kye,no
34,"present, v.",fa kye,ke
34,"present, v.",ye aye,ke
34,preservation,ogye,tō
34,preservation,ṅkwāgye,dšiemo
34,preservation,,walaheremo
34,preservation,,walanámo
34,preservation,,yibamo
34,preserve,gye,here yi wala
34,preserve,gye ṅkwā,ba yi
34,preserve,kyee so,dšie
34,preserve,kora,to
34,preserve,sie,
34,"press, v.",mia,mia
34,"press, v.",kyere so,bobo
34,"press, v.",pia,bodo
34,"press, v.",pūa,nēne
34,"press, v.",hye(so),nā
34,"press, v.",hom so,fi
34,"press, v.",,kē
34,"press, v.",,nyē no
34,"press, n.",afiri,tšōne
34,"press, n.",adaka,skao
34,"press, n.",ṅkyeresó,fimo
34,pretence,ṅkataso,lakpatō
34,pretence,,kpatšō
34,pretty,fe,saṅ
34,pretty,fefę,feo
34,pretty,few,fefęo
34,pretty,oso,fiṅ
34,prevail,buṅkam so,tšō no
34,prevail,deŋ so,ye no
34,prevail,tumi,nyē
34,prevail,fa so,
34,prevail,di so,
34,prevail,di nim,
34,prevent,siw ano,tši na
34,prevent,siw kwaṅ,tši gbe
34,price,ebo,dšra
34,price,ano,hedšra
34,price,ti bo,hemoṅii
34,price,ti ade,na
34,price,,yinii
35,price,kyerẹ ano,tšō na
35,price,bọ bo,wo hedšra
35,prick,wọ,ti
35,prick,yẹ henehene,titi
35,prick,keka,tšu
35,prick,fiti (mu),tšọtše
35,prickle,nsọe,ṅmē
35,prickle,,ṅmei
35,prickly heat,,gbē
35,prickly heat,,gbēi
35,pride,ahantaṅ,hekūomọ
35,pride,ahọkyerẹ,henámo
35,pride,F. ahom,henọwọ
35,pride,,hewọ
35,pride,,yiwọ
35,pride,,hetšōmọ
35,priest,ọsọfo,osọfo
35,prig,wia,dšu
35,prince,ọhene,lumo
35,prince,obirempọṅ,lumobi
35,prince,bakōma,maṅtšebi
35,prince,bapọmma,
35,prince,otitiriw,
35,prince,ọheneba,
35,principal,ọpanyiṅ,onukpa
35,principal,owura,lumo
35,principal,,nontšọ
35,principle,gyinae,yi
35,principle,ti,yitšọ
35,principle,asentitiriw,šiši
35,principle,nnyinasosẹm,šišiḍšẹ
35,principle,,sane titri
35,print,tintim,dūmọ
35,print,printi,
35,prison,afiase,fiasẹ
35,prison,duam',tšu
35,prison,nneduadaṅ,gboklẹfoiatšu
35,prison,apokyerefo fi,
35,prisoner,odeduani,gboklẹfonyo
35,prisoner,opokyereṇi,nom
35,prisoner of war,dommum,nom
35,prisoner of war,,nomṅọgbomo
35,private,nea ahintaw a.s. wosiw so,temọ
35,private,nea enyẹ ọmaṅ de,ekoro
35,private,afisẹm,dientšẹ nō
35,private,apapafwẹkwa,
35,privilege,hō kwaṅ a obi nyā kyeṅ binom,gbẹna
35,privilege,,gbẹfaṅ
35,privilege,,hegbẹ
35,privities,hōnam,helo
35,privities,"adagyaw mu (barima, ānsósó &c.)","yaiyaiaṅ (nūnō, nūtšọ, yōnō, yōhe)"
35,privy,duadaṅ,fẹtšu
35,privy,dua so,kona
35,privy,,tšọnọ
35,privy,,tiafi
35,privy,,wamọtšu
35,privy council,ọhene agyinamfo,maṅtšẹ adšinafoi
35,privy counsellors,ọhene agyinamfo,maṅtšẹ adšinafoi
35,prize,bọ bo,wo dšra
35,prize,bu,bu
35,prize,akansi mu akatua,
35,probe,fwẹfwẹ mu,ka..kwẹ
35,probe,sọ..fwẹ,
36,proceed,seŋ,ho
36,proceed,kọ so,ya nọ
36,proceed,kọ anim,nyọ
36,proceed,nam so,ya hie
36,proceed,,fo ši
36,procession,nnipa a wọnam ŵuw pere kwaŋ,šifọ
36,prodigal,ohofwini,nyennyentši
36,prodigal,ogyennyentwi,
36,prodigality,ahofwi,ahofi
36,prodigality,bọ,ahofibọ
36,prodigality,asikasẹe,nam
36,prodigality,nnyennyentwi,
36,prodigality,bọ,
36,produce,yi,dšie
36,produce,yi kyerẹ,fe
36,produce,yi,fọ
36,produce,ba,wo
36,produce,sow (aba),ba
36,produce,wo,lẹ
36,profane,huhuw,holo
36,profane,ohuhuni,
36,profane,hura họ,bule
36,profane,gu họ fi,
36,profane,kum (obosom) ano,
36,profaneness,ahuhusẹm,holo
36,profess,kā,dšadše
36,profess,kā,gba mli kpoọ
36,profess,kyerẹ,
36,profit,fa so,ná sẹ
36,profit,nyā mfaso,fe he niitšumọ
36,profligate,ohofwini,nyennyentši
36,profligate,ohuhuni,atšrelefelọ
36,profligate,,nyennyentšibolọ
36,profound,emu dọ,kwọ
36,profound,,mli kwọ
36,profuse,fū,yā
36,profuse,bèbrē,babao
36,profuse,pì,pí
36,profuse,(fifiri pram no) wọ,
36,progeny,abusūa,akutšo
36,progeny,asefo,weku
36,progeny,,sešibii
36,progeny,,fiei
36,progress,kọ anim,ya hie
36,progress,kọ so,ya nọ
36,progress,,fo
36,progress,,fo ši
36,prohibit,siw kwaŋ,gu
36,prohibit,kame,bla
36,prohibit,bra,tši gbẹ
36,prohibit,gu,
36,project,bọ tirim (pọw),to yin
36,project,,susu
36,promiscuous,nea edi afra (afuntumfra),futufutu
36,promise,hyẹ ase,wo ši
36,promise,hyẹ bọ,
36,prompt,ntẹm,mramra
36,prompt,pepēpẹ,mlamla
36,prompt,,fitšofitšo
36,prone,eda no họ,hie dọ
36,prone,,hie dọ la
36,prone,,kā he
36,pronounce,kā,wie
36,pronounce,bọ,wie faŋ
36,pronounce,,kẹ
36,pronounce-guilty,bu fọ,bu fọ
36,proof,sofwẹ,kā
36,proof,ńfwẹso,
36,prop,waw,sọo
36,prop,,wa
36,prop,,ka
37,property,ade,nō
37,property,nneema,gbẹfāṅ
37,property,ahōde,nō
37,property,su,nōm
37,property,kwaṅso,nōm
37,prophesy,hyẹ ṅkom,gba
37,prophesy,kā adiyisẹm,gba
37,propitiate,pata,kpātā
37,proposal,agyina a wotu obi,yintō
37,proposal,kasanyansā a wokyere,ṅāwō
37,proprietor,odede,tṣe
37,proprietor,owura,nōtṣe
37,prospect,nea ẹda anim,hie
37,prospect,nea ẹda anim,noni kā hie
37,prospect,nea ẹda anim,oti
37,prosper,kā siade,fere
37,prosper,fa siade,ba
37,prosper,yẹ yiye,ba no
37,prosper,di yiye,fī
37,prosper,ko so,fe kprōkprō
37,prosper,nyā ṅkoso,hẹhẹ
37,prosper,ba anim,ho
37,prosper,few,nyō
37,prosper,fefew,ya hie
37,prosper,gyina so,ya no
37,prosperity,ṅkoso,noba
37,prosperity,yiyedi,niiferemo
37,prosperity,ofew,kpoomo
37,prosperity,ofew,kprōkprōfemo
37,prostitute,ohuhuni,adfamaṅ
37,prostitute,aguamaṅ,yō felo
37,prostitute,obeaguamaṅ,gblagbayō
37,prostrate,tototẹ,fetẹ
37,protect,buw,sra
37,protect,sra,kwẹ
37,protect,fwẹ,bu no
37,protect,pere,bu he
37,protect,gye,bu he
37,"proud, to be",yẹ ahantaṅ,wo he
37,"proud, to be",kyerẹ nehō,wo he no
37,"proud, person",ohantani,hewolo
37,"proud, person",ohōkyerẹfo,hetṣōlo
37,proverb,bẹ,abe
37,proverb,abebusẹm,abẹbu
37,to use a proverb,bu bẹ,bu abẹ
37,provide,siesie akyi,to sẹ
37,provide,fwẹ,kwẹ
37,provide,siesie hō,sa he
37,provide,bo akoṅhama,lẹ
37,providence,ofwẹ,kwẹmo
37,providence,ofwẹsie,sẹtō
37,province,omansiṅ,
37,provision,ofwẹ,nokwẹmonō
37,provision,ofwẹsie,niiyenii
37,provision,aduan,niiyenii
37,provoke,twa poa,tfa mpoa
37,provoke,huru bo,tṣō na
37,provoke,yi (abufuw),wo mlila
38,prowl,kyini,dsu
38,prowl,yẹ ha,dsu ši
38,prowl,kọ afow,ha nii
38,prowl,fa asade,t'a odṣo
38,prowl,twa dwow,
38,prowl,wia,
38,prudence,anitew,hietẹ
38,prudence,anidahọ,hiešikāmọ
38,prudence,nimdeẹ,niilẹ
38,prudence,nyansā,
38,prudence,adwẹmpa,
38,"prudent, to be",ani tew,hie kā ši
38,"prudent, to be",ani kā ase,le nii
38,"prudent, to be",nim de,hie sa
38,prudent-person,ọbanyānsafo,niilelọ
38,prudent-person,ọbanimdefo,nālelọ
38,prudent-person,ọbadwẹmma,
38,prudently,nyansam,nā mli
38,prudently,nimdeẹ so,
38,psalm,dwom,lala
38,psalm,Israel dwom,Dawid lalai
38,psalm,Onyame ūkurofo dwom,
38,public,nnipa nhinā (nny.) anim,mei fẹ hie
38,public,pefẹ,kpetekplẹ
38,public,,pefẹ
38,public-voice,nea nnipa (nny.) susuw'na wokā,dṣeṅbẹ
38,publican,ọtowgyeni,ntohelọ
38,publish,pae,ši
38,publish,kā wo gua so,gba
38,publish,tintim ṅhọma tọn,
38,pudding,abroṅo,ablono
38,pudding,fufū,
38,"puff (up), to be puffed up",puduw,fū
38,"puff (up), to be puffed up",dọ wuw,dọ fū
38,pull,twẹ,ša
38,pull,fwim,šātā
38,pull,tu,gbla
38,pull,tew,wiri
38,pull,paṅ,
38,pull,pempaṅ,
38,pull,poṅ,
38,pull,hoṅ,
38,pull,kuw,
38,pull,hare,
38,pull,F. kwane,
38,pulpit,ọsẹṅkāfo agua,damọhe
38,pulpit,asẹṅkā-agua,šiẹmọhe
38,pulpit,gyinabew,
38,pulverize,siw fekọ,ši
38,pulverize,siw mā efe,ši mlumlu
38,pump,afiri a wode twẹ (abura mu) nsu,pompi
38,puncheon,hâse (gyare 84),hase
38,"pungent, to be",keka,na ba la
38,"pungent, to be",yẹ hyerehyere,
38,punish,twẹ asọ,gbla toi
38,punish,tua kaw (bone),wo nyọmọ
38,punish,fwẹ,he m.k. nii
38,punish,di kasa,
38,punish,gye sika,
38,punish,pọnse,
38,punish,mā ẹkā ani,
38,punishment,asọtwẹ,toigblamọ
38,punishment,akatua (bone),gbẹna
38,punishment,ẹso ade,gbẹfaṅ
38,punishment,ọfwẹ,niifẹremọ
38,punishment,akasadi,niihemọ
38,punishment,atenyi,nyomọwọ
39,puny,horohoro,
39,puny,dōmā,
39,puny,dōmādōmā,
39,puny,keteketewa,
39,puny,foforo,
39,puny,,bibiō
39,puny,,fio
39,puny,,akotia
39,purchase,tọ,
39,purchase,nyā,
39,purchase,gye,
39,purchase,,he
39,purchase,,ná
39,pure,kroṅkroṅ,
39,pure,kurennyeṅ,
39,pure,gyenennyeneṅ,
39,pure,hō tew,
39,pure,ani gyeṅ,
39,pure,,kroṅṅ
39,pure,,kroṅkroṅ
39,pure,,niti
39,pure,,ṅmiṅmi
39,pure,,soṅṅ
39,pure,tse,
39,pure,he tse,
39,pure,tse keṅkeṅ,
39,purge,tew mu,
39,purge,tew hō,
39,purge,fa ase,
39,purge,,"tšū (mli, he)"
39,purge,,musū tšō
39,purge,,tšō musu
39,purgative,afaaseduru,
39,purgative,,musutšō-tšofā
39,purification,ahōdwira,
39,purification,aguare,
39,purification,ntewhō,
39,purification,,dīramo
39,purification,,tšumo
39,purification,,hetšumo
39,purity,ahōtew,
39,purity,,tšemo
39,purity,,hetšemo
39,purity,,hetšē
39,purloin,bebęw,
39,purloin,wia,
39,purloin,,šra nii
39,purloin,,šrašra nii
39,purloin,,dšu nii
39,purpose,tirim pow,
39,purpose,,yintō
39,purpose,,nāwō
39,purr,kā menewam,
39,purr,,hū mli
39,purse,sika kotoku,
39,purse,fotó,
39,purse,ọsannā,
39,purse,,šika kotoku
39,purse,,fotro
39,purser,sikakorafo,
39,purser,ofotokurafo,
39,purser,ọsannāni,
39,purser,,fotrohielọ
39,purser,,kotokuhielọ
39,pursue,di akyiri,
39,pursue,tiw,
39,pursue,tā,
39,pursue,,nyie sẹ
39,pursue,,tiu
39,pursue,,tu sẹ
39,pursue,,wa yi
39,push,si,
39,push,sūm,
39,push,pia,
39,push,worow,
39,push,wo akomfo,
39,push,wo ṅkoṅsaw,
39,push,wo atiko,
39,push,sūm atiko,
39,push,,ši
39,push,,tši
39,push,,tširẹ
39,push,,tši sẹ
39,push,,herẹ
39,push,,helẹ
39,pustule,mfōwa,
39,pustule,atōtōe,
39,pustule,ntotowe,
39,pustule,atápé,
39,pustule,,totropẹ
39,put,de(fa)..to(họ),
39,put,"de..si(hye, gu, tā, trā, tweri) bābi",
39,put,,ṅmẹ
39,put,,wo
39,put,,to
39,put,,ka
39,put,,fō
39,put,,fie ši
39,put-aside,de..to ṅkyeṅ,
39,put-aside,ofā,
39,put-aside,akyiri,
39,put-aside,bābi,
39,put-aside,yi,
39,put-aside,de..sie,
39,put-aside,toto ase,
39,put-aside,,"kẹ..to(afā, sẹ)"
39,put-aside,,šẹ..fō
39,put-down,bĕre ase,
39,put-down,de..si(to) fam,
39,put-down,soẹ(adesoa),
39,put-down,de..hye(ṅhōma) mu,
39,put-down,,to ši
39,put-in,"de..hye(to, gu, kọ) mu",
39,put-in,,họ
39,put-in,,wo mli
39,put-in,,ṅmẹ mli
39,put-off,yi,
39,put-off,pa,
39,put-off,,dšie
39,put-off,,tši..to
39,put-on,hye(atade),
39,put-on,fura(ntama),
39,put-on,,wo(atale)
39,put-on,,ha(mama)
40,Quadruped,atọteboa,
40,Quadruped,osoroboa,
40,Quadruped,asuboa,
40,quail,,drakoko
40,quake,wosow,
40,quake,posow,
40,quake,họ saw,
40,quake,họ popo,
40,quake,,hoso
40,quake,,woso
40,quake,,didā
40,quake,,he dšo
40,quake,,he kpokpo
40,quarrel,kasakasa,
40,quarrel,di akamekame,
40,quarrel,ntawntaw,
40,quarrel,atutuw,
40,quarrel,ham,
