twi,eng
Ɛnnɛ,It started today.
Ɔpɛpɔn bosome mu,It started in January.
Buronya akyi bosome baako,A month after Christmas.
Bosome nie,A month ago.
Bosome mmienu nie,Two months ago.
Bosome mmiɛnsa nie,Three months ago.
Afe nie,A year now.
Mfeɛ mmienu nie,Two years ago.
Mfeɛ mmiɛnsa nie,Three years ago.
M’ase firi nsuo/Nsuo regu me,I have vaginal discharge
Nka wɔ m’ase/M’ase bɔn,Offensive vaginal discharge
M’ase ayɛ kuro,I have vaginal ulceration
M’ase tutu me.,I have vaginal pain
Manya odeepua,I have candidiasis/vaginal discharge
Mogya retu me,I am bleeding
Mekɔ afikyire,I am in my menses
Mabu me nsa,I am in my menses
Mayɛ bra,I am in my menses
Ɛbɛyɛ bosome mmienu nie menkɔɔ afikyire.,I have not had my menses for two months now
Matwa bra,I am at menopause
M’ayaase yɛ me ya,I feel pain in my lower abdomen
Biribi abɛhyɛ/abɛfua m’ayaase,I feel a mass in my lower abdomen
Biribi abɛhyɛ m’anan mu,I feel a mass in my vagina
Me dwonsɔ mogya,I have blood in my urine.
Ɛhyɛɛ aseɛ dabɛn?,When did it start?
Ɛhyɛɛ aseɛ Edwoada no,It started on Monday
Nnanu ne nnɛ na ɛhyɛɛ aseɛ,It started two days ago
Nnansa ne nnɛ,It started three days ago
Nnɛnan ne nnɛ,It started four days ago
Nnanum ne nnɛ,It started five days ago
Nnansia ne nnɛ,It started six days ago
Nnawɔtwe nie,It started a week ago
Ennaanoo na ɛhyɛɛ aseɛ,It started some days ago
Nnawɔtwe mmienu nie,It started two weeks ago
Dapɛn nie na ɛhyɛɛ aseɛ,It started a week ago
Ɛnora,It started yesterday
Ɛnnɛ,It started today
Ɔpɛpɔn bosome mu,It started in January
Buronya akyi bosome baako,A month after Christmas
Bosome nie,A month ago
Bosome mmienu nie,Two months ago
Bosome mmiɛnsa nie,Three months ago
Afe nie,A year now
Mfeɛ mmienu nie,Two years ago
Mfeɛ mmiɛnsa nie,Three years ago
Meyare ebunu,I have jaundice.
Ekuro ayɛ m'ano,I have lip ulcer / sore.
M'anom ayɛ kuro,I have sore mouth.
Meyare mogyaboroso,I am hypertensive.
aka me ba yi,My child has convulsion.
Me ba no asensen,My child has become stiff/ convulsion.
Me ba no bɔ nkɔnkɔn,My child has whooping cough.
Me ba no aso fiti,My child's ear discharges.
Me ba yi abɔ dam,My child is mad/ insane.
Me ba no ase ayɛ kuro,My child has genital ulcers.
Me ba no bɔ birimbirim,Startling attack.
Wei aka no,He/ she has convulsion.
Metwa,I have fit/ epilepsy.
Ɔtwa,He/ she has fit.
N'adwene mu ka no,He/ she is mad/ mental illness.
Ɔyare nofoɔ mu kokoram,She has breast cancer.
Me nyinsɛn a na ɛso abubu,Recurrent bleeding in pregnancy.
Ɔyare nantwiyarɛ,He/she has Anthrax.
Asɔ me tiri ne me kɔn,I have meningitis.
Mepɔn ahwene,I bleed from my nose.
Mapɔn,I have miscarried.
M'anidane aba,I am experiencing menstrual pain.
Me ho adane,I am pregnant.
Menyem,I am pregnant.
M'ase keka me,I have vaginal itch.
Ne ho nsuo agyene,Infertile male.
Dwoa atwe me /atwe me dwoa,I have lymph node swelling.
Mente me ba ne nka/Akwadaa no nka ne ho,No perception of foetal movement.
Ntasuoakoram ayɛ me,I feel pain in the throat when I swallow.
Amuntum akye me,I have sleep paralysis.
Dwonsɔyaayaa ayɛ me.,I feel pain when passing urine.
Meyare ebunu.,I have jaundice
Ekuro ayɛ m'ano.,I have lip ulcer / sore
M'anom ayɛ kuro.,I have sore mouth
Meyare mogyaborosɔ.,I am hypertensive
Ɛsoro aka me ba yi.,My child has convulsion
Me ba no asensen.,My child has become stiff/ convulsion
Me ba no bɔ nkɔnkɔn.,My child has whooping cough
Me ba no aso fiti.,My child’s ear discharges
Me ba yi abɔ dam.,My child is mad/ insane
Me ba no ase ayɛ kuro.,My child has genital ulcers
Me ba no bɔ birimbirim.,Startling attack
Wei aka no.,He/ she has convulsion
Metwa.,I have fit/ epilepsy
Ɔtwa.,He/ she has fit
Ɔyare nofoɔ mu kokoram.,She has breast cancer
Me nyinsɛn a na ɛso abubu.,Recurrent bleeding in pregnancy
Ɔyare nantwiyareɛ.,He/she has Anthrax
Asɔ me tiri ne me kɔn.,I have meningitis
Mepɔn ahwene.,I bleed from my nose
Mapɔn.,I have miscarried
M'anidane aba,I am experiencing menstrual pain
Me ho adane.,I am pregnant
Menyem.,I am pregnant
M'ase keka me.,I have vaginal itch
Ne ho nsuo agyene.,Infertile male
Dwoa atwe me /atwe me dwoa,I have lymph node swelling.
Mente me ba ne nka/ Akwadaa no nka ne ho,No perception of foetal movement
Me ba no kɔkɔbo abɛtɛ hɔ.,He/she has rectal prolapse
Me home rete.,I am breathless
Nsuo regu me.,I have vaginal discharge
Afɔ de me.,I feel pressed (I feel like passing stool-used by some women to indicate they feel pressure to pass stool in labour)
Me ho yera me.,I am irritable/ I feel uneasy
Ɛbrɛ me kyem.,I feel like pushing (used in labour to indicate an urge to bear a child
Me ho dwane me/ me ho dwaa me.,I have burning sensation
Mayɛ hodwoo.,I am weak
M'ani gu so saa.,Insomnia
Mekɔ kwan so a...,Reference to sex/ When I have sex
Mete tɔɛ.,I fell down
Metwa hweeɛ.,I collapsed/ I fainted
Kɔterekɔɔ asi me.,I have Hiccups
Ntasuoakoram ayɛ me.,I feel pain in the throat when I swallow
Amuntum akye me.,I have sleep paralysis
Tipaɛ,Headache
Tiyarɛ,Sinusitis/ Cold / Headache
Tiri mu dwie,Hair lice
Tirimukuro,Sinusitis
Ani a ɛporo nsuo,Tearing eye/ Watery eye
Asensene,Tetanus/ Tonic Seizure
Menemu kokoram,Throat cancer
Kaka,Toothache
Seporɔɛ,Tooth decay/ Dental Caries
Nsamanwa,Tuberculosis
Atiridinin,Typhoid/ Severe Malaria
Me se femfem me.,I have sensitive tooth
Me se yɛ me ya.,My tooth is aching/ I have tooth ache
Me se ayɛ titiritii,My tooth has become numb
Me se tutu me.,I have severe toothache
Me se so abu.,I have a broken tooth
Me kɔn yɛ me ya,My neck is aching
Me mene mu yɛ me ya,My throat is aching
Me mene mu ayɛ kuro,I have a sore throat
Me mene mukeka me,My throat is itchy
Me mene mu yɛ me hene,My throat is itchy
Mentumi mmene ntasuo,I have difficulty swallowing.
Kasɛɛ ahia me,I have swallowed a fish bone
Wamene sika,He/She has swallowed a coin
Mamene me se,I have swallowed my artificial tooth
Me nne asi/ Me nne afam/Me nne asesa,Hoarseness/change of voice
Ntasuoakoram ayɛ me,I cannot swallow saliva/ I have pains in the throat whens wallowing.
Me ti yɛ me ya,My head aches.
Me ti fa yɛ me ya,Half of my head aches.
Me ti fa dwa me,One sided headache.
Me ti mu keka me,My scalp itches.
Me ti dwa me gagaga,Throbbing/ Splitting headache.
Ne ti mu ka no,He/ She has mental illness.
Me ti mu hyehye me,I have burning sensation in my head.
Me ti pae me,My head aches.
M'adwene mu hyehye me,I have burning sensation in my head.
Me ti mu bɔn me,I have bad breath / halitosis.
Etire,Head
Momma,Fore head
Aniakyi nwi,Eyebrow
Anintɔn nwi,Eye lid
Hwene,Nose
Ano,Mouth
Abɔdweɛ,Chin
Ɛkɔn,Neck
Tirinwii,Hair
Ani,Eyes
Aso,Ear
Afono,Cheek
Batire,Shoulder
Nofoo,Breast
Nofoo ano,Nipple
Nsa,Hand
Nsateaa,Fingers
Nsayam,Palm
Mmɔtoam,Armpit
Mfe,Rib
Batwɛ,Elbow
Afuro,Stomach
Sisie,Waist
Asene/ Ayaaseɛ,Abdomen
Ɛtwɛ,Vagina
Srɛ,Thigh
Kotodwe,Knee
Nan,Leg
Nammoromu/ Nantabono,Foot
Nansoa,Toe
Nan bɔwerɛ/ Mmɔwerɛ,Toe nails
Asoakyi,Back of the ear
Kɔn akyi,Back of the neck
Nsaakyi,Back of Palm
Akyiri dompe,Back bone
Akyi,Back
Ɛtoɔ,Buttocks
Nantuo,Calf
Nan mmoromu,Arc of the foot
Etire,Head
Moma,Forehead
Ani,Eye
Hwene,Nose
Afono,Cheek
Ano,Mouth
Abɔdweɛ,Chin
Tirinwii,Hair
Ani akyi nwi,Eyebrow
Aso,Ear
Ɛkɔn,Neck
Nsatea,Fingers
Nsayam,Palm
Batwɛ,Elbow
Mfe,Ribs
Sisie,Waist
Batire,Shoulder
Kokoɔ,Chest
Nofoɔ,Breast
Afuro,Stomach
Funuma,Navel
Nsa,Hand
Hwowa,Testicles
Kɔteɛ,Penis
Nan,Leg
Nammɔn/ nantabono,Foot
Srɛ,Thigh
Kotodwe,Knee
Nampɔso,Ankle
Nansoa,Toes
Aso akyi,Back of the ear
Ɛkɔn akyi,Back of the neck
Nsaakyi,Back of the hand
Akyiri dompe/ Brɛmoɔ,Back bone
Akyi,Back
Ɛtoɔ,Buttocks
Nantuo,Calf
Nan mmoromu,Arc of the foot
Funumatu,Umblical hernia
Ɛfeɛ,Vomiting
Agyemmirekutu ayɛ me,I have contracted mumps.
Me ho ayɛ hye,I have a fever.
Me ho aben,I have a fever.
Me nan ahono,My leg is swollen.
Me nan ase ataetae,My feet are swollen.
M'afuru ahyɛ / ahono,Abdominal distention.
Me ho yɛ me hene,My body itches.
Meyare akomayareɛ,I have a heart disease.
Mepɔn ahwene,I have nose bleeds/ Epistaxis.
M'akyi yɛ me ya,I have back pain/ache.
M'ani so biri me,I feel dizzy.
M'ani nhunu adeɛ,I cannot see.
M'ani afira,I am blind.
Aporɔporɔ ayɛ me,I have foot rot.
Meyare asikyireyareɛ,I am suffering from diabetes.
M'aso fiti,My ear discharges.
Me yam hyehye me,I am anxious / panicky.
Ɛyɛ a na me yam ahye me,I get panic attacks.
Me yam atim,I have constipation.
Mentumi nnya me nan,I cannot pass stool / constipation.
Me yam tu,I have diarrhoea/ running stomach.
Babaso ayɛ me,I have gonorrhoea.
Mewɔ berɛboɔ mu yareɛ,I have hepatitis/ liver disease.
Medwonsɔ mogya,I pass bloody urine.
Dwonsɔayaayaa ayɛ me,I feel pain when passing urine.
Ɔyare ɛtwerɛ,He/ she has fit/ epilepsy.
Me ti pae me,My head is splitting.
Ɛtwo ayɛ me,I have hydrocele.
Me hwoa ayɛ kɛse,I have scrotal swelling.
Mebɔ wa,I cough.
Kooko asi m'ani so,There is a growth on my eye.
Kooko asi me to,I have piles/ haemorrhoids.
Me mogya so ate,I am anaemic.
Mogya retu me,I am bleeding.
Mehwa nkorɔmo,I snore.
Nkwee wɔ me so,I have hernia.
Nwaahono agu me,I have sore lips.
Me yam bobɔ mu,Boborygmi sound.
Mebɔ nsamanwa,I have tuberculosis.
Me ba no kɔkɔbo abɛtɛ hɔ,He/she has rectal prolapse.
Me home rete,I am breathless.
Nsuo regu me,I have vaginal discharge.
Afɔ de me,I feel pressed (I feel like passing stool-used by some women to indicate they feel pressure to pass stool in labour).
Me ho yera me,I am irritable/ I feel uneasy.
Ɛbrɛ me kyem,I feel like pushing (used in labour to indicate an urge to bear a child).
Me ho dwane me/ me ho dwaa me,I have burning sensation.
Mayɛ hodwoo,I am weak.
M'ani gu so saa,Insomnia.
Mekɔ kwan so a........,Reference to sex/ When I have sex.
Mete tɔɛ,I fell down.
Metwa hweeɛ,I collapsed/ I fainted.
Kɔterekɔɔ asi me,I have Hiccups.
Agyemmirekutu ayɛ me,I have contracted mumps.
Me ho ayɛ hye,I have a fever.
Me ho aben,I have a fever
Me nan ahono,My leg is swollen.
Me nan ase ataetae,My feet are swollen.
M'afuru ahyɛ / ahono,Abdominal distention.
Me ho yɛ me hene,My body itches.
Meyare akomayare,I have a heart disease.
Mepɔn ahwene,I have nose bleeds/ Epistaxis.
M'akyi yɛ me ya.,I have back pain/ache
M'ani so biri me.,I feel dizzy
M'ani nhunu adeɛ.,I cannot see
M'ani afira.,I am blind
Aporɔporɔ ayɛ me.,I have foot rot
Meyare asikyireyareɛ.,I am suffering from diabetes
M'aso fiti.,My ear discharges
Me yam hyehye me.,I am anxious / panicky
Ɛyɛ a na me yam ahye me.,I get panic attacks
Me yam atim.,I have constipation
Mentumi nnya me nan.,I cannot pass stool / constipation
Me yam tu.,I have diarrhoea/ running stomach
Babaso ayɛ me.,I have gonorrhoea
Mewɔ berɛboɔ mu yareɛ.,I have hepatitis/ liver disease
Medwonsɔ mogya.,I pass bloody urine
Ɔyare ɛtwerɛ.,He/ she has fit/ epilepsy
Me ti pae me.,My head is splitting
Ɛtwo ayɛ me.,I have hydrocele
Me hwoa ayɛ kɛse.,I have scrotal swelling
Mebɔ wa.,I cough
Kooko asi m'ani so.,There is a growth on my eye
Kooko asi me to.,I have piles/ haemorrhoids
Me mogya so ate.,I am anaemic
Mogya retu me.,I am bleeding
Mehwa nkorɔmo.,I snore
Nkwee wɔ me so.,I have hernia
Nwaahono agu me.,I have sore lips
Me yam bobɔ mu.,Boborygmi sound
Mebɔ nsamanwa.,I have tuberculosis
N'adwene mu ka no.,He/ she is mad/ mental illness
Me se atu.,I have lost a tooth
Tokuro abɛda me se mu,I have a hole in my tooth.
Me se akyi nam tu mogya,My gum bleeds
Mepɛ sɛ mesi me se,I want to replace my missing tooth
N'ano mae nsuo,He/she drools
Kaka ayɛ me se,I have toothache
Mekasa a na nka wɔ m'anum/M'anum bɔn,I have bad breath/ Halitosis
N'ano apae,He/she has a cleft/split lip
Tokuro wɔ n'anom soro,He/she has a cleft palate
Me se so ayɛ fi,I have stains on my teeth.
M'akoma bɔ me paripari,My heart beats fast/ palpitation
Me mu yɛ me ya,I have chest pain
Me sisi yɛ me ya,I have waist pain/ I have pain in my waist
Me pa yɛ me ya,I have low back pain
M'ayaase yɛ me ya,I have pain in my lower abdomen
Wedeɛ mu kokoram,Skin cancer
Ani a ɛporo nsuo,Watery eye/ Tearing eye
Nkɔnkɔn,Whooping cough
Sisiyareɛ,Waist pain
Yafunukeka,Abdominal pain
Yamkuro,Stomach ulcer
Yamtuo,Diarrhoea
Yarefufuo,Fever
Me yam tutu me,I have abdominal pain.
Me yam yɛ me ya,I have Abdominal Pain.
Me yam bobɔ mu / woro so,Borborygmi.
Me yam keka me,I have abdominal pain.
Me yafunu ka me dwee,I have colicky abdominal pain.
Ɛfeɛ,Vomiting
Ɛfemfem,Hypersensitive Feeling/ Tingling
Ɛhoa,Dandruff
Ɛka me/ Ɛkeka me,Colicky pain
Ɛkeka me,Itching
Ɛkorɔ,Pityriasis Vesicolor
Ɛnna mu yareɛ,Sexually transmitted disease
Ɛpɔ,Skin rash due to allergy /Urticaria
Ɛpɔn,Miscarriage/ Seizure/Convulsion in children
Ɛtɛ,Cataract/ Leucorrhoea
Ɛhyehye me,Burning sensation
Ɛse keka,Loose tooth
Ɛtwo,Hydrocele / Scrotal Swelling
Ɛwa,Cough
Ɛwe me,Gnawing pain
Ɛyam,Ringworm
